Date,Open,High,Low,Close,Adj Close,Volume,percentage
2004-04-12,11.900.000.000,12.280.000.000,11.880.000.000,12.200.000.000,8.884.855.469,21795000,"54599,68%"
2004-04-13,12.300.000.000,12.440.000.000,12.240.000.000,12.320.000.000,8.972.249.023,30255000,"40654,44%"
2004-04-14,12.320.000.000,12.320.000.000,12.160.000.000,12.300.000.000,8.957.682.617,40205000,"30642,95%"
2004-04-15,12.300.000.000,12.300.000.000,12.300.000.000,12.300.000.000,8.957.682.617,0,#DIV/0!
2004-04-16,12.200.000.000,12.200.000.000,11.840.000.000,11.880.000.000,8.651.810.547,55345000,"22043,55%"
2004-04-19,11.900.000.000,11.980.000.000,11.820.000.000,11.980.000.000,8.724.632.813,38710000,"30741,41%"
2004-04-20,12.140.000.000,12.300.000.000,11.980.000.000,12.300.000.000,8.957.682.617,34160000,"35538,64%"
2004-04-21,12.260.000.000,12.540.000.000,12.160.000.000,12.500.000.000,9.103.334.961,43295000,"28317,36%"
2004-04-22,12.500.000.000,12.620.000.000,12.340.000.000,12.400.000.000,9.030.509.766,36920000,"33856,99%"
2004-04-23,12.500.000.000,12.740.000.000,12.440.000.000,12.740.000.000,9.278.121.094,36010000,"34712,58%"
2004-04-26,12.740.000.000,12.760.000.000,12.520.000.000,12.520.000.000,9.117.900.391,28090000,"45354,22%"
2004-04-27,12.520.000.000,12.580.000.000,12.300.000.000,12.360.000.000,9.001.374.023,35100000,"35669,52%"
2004-04-28,12.360.000.000,12.380.000.000,12.020.000.000,12.040.000.000,8.768.331.055,39765000,"31082,61%"
2004-04-29,11.700.000.000,11.800.000.000,11.440.000.000,11.520.000.000,8.389.629.883,60840000,"19230,77%"
2004-04-30,11.200.000.000,11.420.000.000,10.980.000.000,11.140.000.000,8.112.892.090,69125000,"16202,53%"
2004-05-03,11.140.000.000,11.220.000.000,10.920.000.000,11.120.000.000,8.098.328.125,38245000,"29127,99%"
2004-05-04,11.120.000.000,11.280.000.000,11.000.000.000,11.100.000.000,8.083.761.230,47555000,"23383,45%"
2004-05-05,11.100.000.000,11.100.000.000,11.100.000.000,11.100.000.000,8.083.761.230,0,#DIV/0!
2004-05-06,10.960.000.000,11.000.000.000,10.520.000.000,10.560.000.000,7.690.500.977,58090000,"18867,27%"
2004-05-07,10.500.000.000,10.800.000.000,10.360.000.000,10.800.000.000,7.865.284.668,45745000,"22953,33%"
2004-05-10,10.600.000.000,10.680.000.000,9.840.000.000,10.180.000.000,7.413.757.324,50775000,"20876,42%"
2004-05-11,10.180.000.000,10.320.000.000,9.980.000.000,10.020.000.000,7.297.235.352,52660000,"19331,56%"
2004-05-12,10.300.000.000,10.600.000.000,10.220.000.000,10.500.000.000,7.646.801.758,45270000,"22752,37%"
2004-05-13,10.400.000.000,10.500.000.000,10.140.000.000,10.140.000.000,7.384.625.000,38605000,"26939,52%"
2004-05-14,10.220.000.000,10.320.000.000,9.710.000.000,9.830.000.000,7.158.862.793,53855000,"18976,88%"
2004-05-17,9.760.000.000,9.840.000.000,9.160.000.000,9.160.000.000,6.670.922.852,54650000,"17859,10%"
2004-05-18,9.010.000.000,9.560.000.000,8.960.000.000,9.470.000.000,6.896.686.035,54350000,"16577,74%"
2004-05-19,9.580.000.000,10.120.000.000,9.570.000.000,10.000.000.000,7.282.667.480,41465000,"23103,82%"
2004-05-20,9.920.000.000,10.180.000.000,9.740.000.000,9.890.000.000,7.202.561.523,41540000,"23880,60%"
2004-05-21,9.990.000.000,10.040.000.000,9.870.000.000,10.040.000.000,7.311.800.781,22495000,"44409,87%"
2004-05-24,10.280.000.000,10.300.000.000,10.120.000.000,10.220.000.000,7.442.883.789,19995000,"51412,85%"
2004-05-25,10.040.000.000,10.060.000.000,9.830.000.000,9.840.000.000,7.166.147.461,27125000,"37013,82%"
2004-05-26,9.840.000.000,9.840.000.000,9.840.000.000,9.840.000.000,7.166.147.461,0,#DIV/0!
2004-05-27,10.220.000.000,10.260.000.000,10.100.000.000,10.120.000.000,7.370.059.570,28035000,"36454,43%"
